StudyYear	Code	Births	BirthSchool	Rate	trt	year	interaction	Pop
2016.0	260795	238	128.0	20.408163	1.0	1.0	1.0	11649
2014.0	260800	287	123.0	17.107773	1.0	0.0	0.0	16776
2016.0	260800	217	108.0	12.871464	1.0	1.0	1.0	16943
2014.0	260805	242	167.0	16.660929	1.0	0.0	0.0	14525
2016.0	260805	213	146.0	14.603044	1.0	1.0	1.0	14646
2014.0	260810	359	232.0	10.994395	1.0	0.0	0.0	32653
2016.0	260810	306	193.0	9.288772	1.0	1.0	1.0	33217
2014.0	260820	247	126.0	15.396123	1.0	0.0	0.0	16043
2016.0	260820	266	155.0	16.604244	1.0	1.0	1.0	16004
2014.0	260825	192	91.0	17.246025	1.0	0.0	0.0	11133
2016.0	260825	182	107.0	16.25	1.0	1.0	1.0	11269
2014.0	260830	299	154.0	20.725029	1.0	0.0	0.0	14427
2016.0	260830	246	150.0	16.939816	1.0	1.0	1.0	14620
2014.0	260840	194	74.0	12.833234	1.0	0.0	0.0	15117
2016.0	260840	215	104.0	14.170841	1.0	1.0	1.0	15229
2014.0	260845	237	170.0	13.740724	1.0	0.0	0.0	17248
2016.0	260845	216	147.0	12.375387	1.0	1.0	1.0	17654
2014.0	260850	395	238.0	18.59086	1.0	0.0	0.0	21247
2016.0	260850	334	213.0	15.696226	1.0	1.0	1.0	21308
2014.0	260860	159	74.0	12.442288	1.0	0.0	0.0	12779
2016.0	260860	160	88.0	12.437811	1.0	1.0	1.0	12951
2014.0	260870	192	97.0	11.902548	1.0	0.0	0.0	16131
2016.0	260870	176	70.0	10.891089	1.0	1.0	1.0	16190
2014.0	260875	379	218.0	15.483291	1.0	0.0	0.0	24478
2016.0	260875	357	223.0	14.4213295	1.0	1.0	1.0	25030
2014.0	260880	706	382.0	18.1505	1.0	0.0	0.0	38897
2016.0	260880	642	378.0	16.360022	1.0	1.0	1.0	39570
2014.0	260890	810	567.0	14.378017	1.0	0.0	0.0	56336
2016.0	260890	741	554.0	13.167247	1.0	1.0	1.0	56203
2014.0	260900	387	227.0	15.53593	1.0	0.0	0.0	24910
2016.0	260900	364	268.0	14.55127	1.0	1.0	1.0	25114
2014.0	260910	189	125.0	12.564818	1.0	0.0	0.0	15042
2016.0	260910	177	120.0	11.557297	1.0	1.0	1.0	15571
2014.0	260915	238	99.0	11.951991	1.0	0.0	0.0	19913
2016.0	260915	253	117.0	12.461212	1.0	1.0	1.0	20681
2014.0	260920	231	111.0	19.477234	1.0	0.0	0.0	11860
2016.0	260920	175	81.0	14.94194	1.0	1.0	1.0	11570
2014.0	260930	238	156.0	15.860323	1.0	0.0	0.0	15006
2016.0	260930	252	169.0	16.693163	1.0	1.0	1.0	15185
2014.0	260940	833	592.0	13.782948	1.0	0.0	0.0	60437
2016.0	260940	733	540.0	12.012061	1.0	1.0	1.0	61577
2014.0	260950	482	322.0	15.084184	1.0	0.0	0.0	31954
2016.0	260950	433	324.0	13.501715	1.0	1.0	1.0	32174
2014.0	260960	6048	4704.0	15.554035	1.0	0.0	0.0	388838
2016.0	260960	5612	4354.0	14.4078455	1.0	1.0	1.0	390144
2014.0	260970	300	200.0	12.705404	1.0	0.0	0.0	23612
2016.0	260970	253	190.0	10.691797	1.0	1.0	1.0	23717
2014.0	260980	304	222.0	21.307913	1.0	0.0	0.0	14267
2016.0	260980	279	219.0	19.311968	1.0	1.0	1.0	14623
2014.0	260990	1227	710.0	18.284506	1.0	0.0	0.0	67106
2016.0	260990	1059	612.0	15.646932	1.0	1.0	1.0	68236
2014.0	261000	1757	976.0	28.328657	1.0	0.0	0.0	62022
2016.0	261000	1339	783.0	21.492432	1.0	1.0	1.0	62571
2014.0	261010	110	52.0	13.618917	1.0	0.0	0.0	8077
2016.0	261010	110	63.0	13.801757	1.0	1.0	1.0	7864
2014.0	261020	339	180.0	12.79535	1.0	0.0	0.0	26494
2016.0	261020	379	208.0	14.32026	1.0	1.0	1.0	26440
2014.0	261030	200	91.0	17.4642	1.0	0.0	0.0	11452
2016.0	261030	234	125.0	20.607662	1.0	1.0	1.0	11403
2014.0	261040	296	207.0	14.032426	1.0	0.0	0.0	21094
2016.0	261040	335	237.0	15.801142	1.0	1.0	1.0	21290
2014.0	261050	411	248.0	14.15533	1.0	0.0	0.0	29035
2016.0	261050	358	244.0	12.35079	1.0	1.0	1.0	28935
2014.0	261060	914	590.0	16.756191	1.0	0.0	0.0	54547
2016.0	261060	797	553.0	14.482483	1.0	1.0	1.0	55493
2014.0	261070	4303	3642.0	13.456126	1.0	0.0	0.0	319780
2016.0	261070	3976	3307.0	12.3194	1.0	1.0	1.0	325590
2014.0	261080	290	172.0	13.419713	1.0	0.0	0.0	21610
2016.0	261080	236	141.0	10.533363	1.0	1.0	1.0	22455
2014.0	261090	1007	618.0	15.310932	1.0	0.0	0.0	65770
2016.0	261090	904	585.0	13.664052	1.0	1.0	1.0	66524
2014.0	261100	693	501.0	19.835136	1.0	0.0	0.0	34938
2016.0	261100	669	489.0	18.929855	1.0	1.0	1.0	35731
2014.0	261110	6416	4441.0	19.67911	1.0	0.0	0.0	326031
2016.0	261110	6242	4602.0	18.803017	1.0	1.0	1.0	337683
2014.0	261120	163	78.0	14.476022	1.0	0.0	0.0	11260
2016.0	261120	143	77.0	12.69644	1.0	1.0	1.0	11266
2014.0	261130	390	239.0	14.564195	1.0	0.0	0.0	26778
2016.0	261130	357	238.0	13.300548	1.0	1.0	1.0	26902
2014.0	261140	201	120.0	13.999165	1.0	0.0	0.0	14358
2016.0	261140	173	96.0	11.920347	1.0	1.0	1.0	14657
2014.0	261150	346	166.0	13.63117	1.0	0.0	0.0	25383
2016.0	261150	335	168.0	13.117193	1.0	1.0	1.0	25686
2014.0	261153	99	71.0	14.471568	1.0	0.0	0.0	6841
2016.0	261153	91	71.0	13.327476	1.0	1.0	1.0	6812
2014.0	261160	23506	18939.0	14.613043	1.0	0.0	0.0	1608563
2016.0	261160	21413	17388.0	13.240295	1.0	1.0	1.0	1625583
2014.0	261170	346	175.0	17.243097	1.0	0.0	0.0	20066
2016.0	261170	250	153.0	12.387276	1.0	1.0	1.0	20286
2014.0	261180	884	590.0	19.036545	1.0	0.0	0.0	46437
2016.0	261180	514	340.0	11.014915	1.0	1.0	1.0	46877
2014.0	261190	395	211.0	17.11661	1.0	0.0	0.0	23077
2016.0	261190	345	220.0	14.8822365	1.0	1.0	1.0	23282
2014.0	261200	115	67.0	10.814369	1.0	0.0	0.0	10634
2016.0	261200	124	77.0	11.8819475	1.0	1.0	1.0	10247
2014.0	261210	68	32.0	6.6315584	1.0	0.0	0.0	10254
2016.0	261210	78	44.0	7.484168	1.0	1.0	1.0	10588
2014.0	261220	1055	792.0	17.757057	1.0	0.0	0.0	59413
2016.0	261220	991	776.0	16.579947	1.0	1.0	1.0	60117
2014.0	261230	250	106.0	15.901285	1.0	0.0	0.0	15722
2016.0	261230	236	127.0	14.992694	1.0	1.0	1.0	15761
2014.0	261240	307	159.0	12.501527	1.0	0.0	0.0	24557
2016.0	261240	271	151.0	10.818795	1.0	1.0	1.0	25521
2014.0	261245	264	167.0	17.986101	1.0	0.0	0.0	14678
2016.0	261245	224	130.0	15.071996	1.0	1.0	1.0	15032
2014.0	261247	182	134.0	14.78713	1.0	0.0	0.0	12308
2016.0	261247	181	123.0	14.626263	1.0	1.0	1.0	12439
2014.0	261250	1399	825.0	14.097707	1.0	0.0	0.0	99236
2016.0	261250	1225	764.0	12.069917	1.0	1.0	1.0	103660
2014.0	261255	185	102.0	13.142939	1.0	0.0	0.0	14076
2016.0	261255	192	122.0	13.552622	1.0	1.0	1.0	14265
2014.0	261260	809	549.0	19.682741	1.0	0.0	0.0	41102
2016.0	261260	747	500.0	18.088043	1.0	1.0	1.0	41475
2014.0	261270	168	67.0	12.238654	1.0	0.0	0.0	13727
2016.0	261270	205	103.0	14.824993	1.0	1.0	1.0	13921
2014.0	261280	159	108.0	13.74125	1.0	0.0	0.0	11571
2016.0	261280	140	95.0	12.041975	1.0	1.0	1.0	11682
2014.0	261290	151	73.0	9.994043	1.0	0.0	0.0	15109
2016.0	261290	159	74.0	10.39012	1.0	1.0	1.0	15497
2014.0	261300	803	406.0	14.076606	1.0	0.0	0.0	57045
2016.0	261300	627	333.0	10.873901	1.0	1.0	1.0	58251
2014.0	261310	483	275.0	13.188434	1.0	0.0	0.0	36623
2016.0	261310	513	308.0	13.954247	1.0	1.0	1.0	36895
2014.0	261320	333	175.0	14.944128	1.0	0.0	0.0	22283
2016.0	261320	350	191.0	15.620119	1.0	1.0	1.0	22518
2014.0	261330	356	158.0	16.849678	1.0	0.0	0.0	21128
2016.0	261330	327	160.0	15.446386	1.0	1.0	1.0	21215
2014.0	261340	381	195.0	19.042383	1.0	0.0	0.0	20008
2016.0	261340	356	190.0	17.505901	1.0	1.0	1.0	20654
2014.0	261350	578	383.0	17.193682	1.0	0.0	0.0	33617
2016.0	261350	468	308.0	13.895487	1.0	1.0	1.0	33742
2014.0	261360	458	338.0	13.79809	1.0	0.0	0.0	33193
2016.0	261360	434	323.0	13.006863	1.0	1.0	1.0	33537
2014.0	261370	1755	1256.0	16.05599	1.0	0.0	0.0	109305
2016.0	261370	1695	1233.0	15.371361	1.0	1.0	1.0	111197
2014.0	261380	242	105.0	13.681592	1.0	0.0	0.0	17688
2016.0	261380	282	143.0	15.874803	1.0	1.0	1.0	17834
2014.0	261390	1460	1068.0	17.440125	1.0	0.0	0.0	83715
2016.0	261390	1312	952.0	15.553132	1.0	1.0	1.0	84970
2014.0	261400	253	167.0	13.328417	1.0	0.0	0.0	18982
2016.0	261400	258	166.0	13.566095	1.0	1.0	1.0	19049
2014.0	261410	407	256.0	11.559873	1.0	0.0	0.0	35208
2016.0	261410	387	248.0	10.942404	1.0	1.0	1.0	35521
2014.0	261420	744	416.0	17.054832	1.0	0.0	0.0	43624
2016.0	261420	604	374.0	13.668869	1.0	1.0	1.0	44734
2014.0	261430	173	110.0	15.380512	1.0	0.0	0.0	11248
2016.0	261430	138	90.0	12.275395	1.0	1.0	1.0	11240
